sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
33006;SDS011;19361;51.598;7.650;2022-07-11T00:03:41;3.17;;;1.30;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:08:42;1.88;;;1.50;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:13:43;5.47;;;1.63;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:18:44;6.40;;;2.03;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:23:45;2.97;;;1.70;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:28:45;2.67;;;1.50;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:33:46;2.30;;;1.48;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:38:47;2.55;;;1.60;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:43:51;3.05;;;1.38;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:48:57;4.05;;;1.70;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:53:59;1.90;;;1.40;;
33006;SDS011;19361;51.598;7.650;2022-07-11T00:59:01;2.78;;;1.80;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:04:02;3.35;;;1.63;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:09:03;2.97;;;1.67;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:14:04;2.17;;;1.60;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:19:04;4.78;;;1.63;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:24:06;2.13;;;1.98;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:29:08;5.40;;;2.28;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:34:13;3.55;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:39:14;1.77;;;1.50;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:44:15;3.08;;;1.98;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:49:15;2.92;;;1.67;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:54:16;2.28;;;1.60;;
33006;SDS011;19361;51.598;7.650;2022-07-11T01:59:17;1.77;;;1.67;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:04:17;2.20;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:09:18;1.67;;;1.58;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:14:19;3.08;;;1.83;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:19:19;3.10;;;2.03;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:24:20;2.35;;;1.75;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:29:21;6.22;;;2.10;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:34:22;3.75;;;1.85;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:39:23;5.88;;;2.50;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:44:24;2.03;;;1.83;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:49:25;3.50;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:54:25;2.42;;;1.90;;
33006;SDS011;19361;51.598;7.650;2022-07-11T02:59:26;2.92;;;1.73;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:04:27;4.35;;;1.95;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:09:28;3.78;;;2.40;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:14:29;2.75;;;1.98;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:19:29;3.55;;;2.13;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:24:30;3.00;;;1.77;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:29:31;3.25;;;2.17;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:34:33;5.00;;;2.05;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:39:34;2.88;;;1.98;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:44:35;3.20;;;2.15;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:49:35;3.72;;;2.10;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:54:36;2.53;;;1.98;;
33006;SDS011;19361;51.598;7.650;2022-07-11T03:59:37;6.80;;;2.13;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:04:38;2.92;;;2.15;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:09:38;4.85;;;1.88;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:14:39;4.00;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:19:40;4.30;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:24:42;4.95;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:29:43;6.18;;;1.92;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:34:44;3.65;;;2.33;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:39:44;4.25;;;2.28;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:44:46;6.35;;;1.90;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:49:47;4.68;;;1.83;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:54:50;2.33;;;1.67;;
33006;SDS011;19361;51.598;7.650;2022-07-11T04:59:51;2.33;;;1.58;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:04:52;4.55;;;1.65;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:09:54;2.83;;;1.52;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:14:55;3.33;;;1.67;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:19:58;1.63;;;1.30;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:24:59;2.45;;;1.63;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:30:00;1.48;;;1.25;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:35:01;2.60;;;1.35;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:40:03;2.00;;;1.45;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:45:05;6.18;;;2.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:50:06;2.15;;;1.20;;
33006;SDS011;19361;51.598;7.650;2022-07-11T05:55:07;2.55;;;1.25;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:00:08;1.83;;;1.00;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:05:09;1.80;;;1.13;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:10:11;0.93;;;0.70;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:15:12;0.63;;;0.63;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:20:13;0.50;;;0.50;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:25:13;0.60;;;0.60;;
33006;SDS011;19361;51.598;7.650;2022-07-11T06:30:14;0.70;;;0.70;;
