sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
33006;SDS011;19361;51.598;7.650;2022-03-03T00:02:07;15.30;;;8.35;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:07:07;11.48;;;8.57;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:12:08;17.50;;;9.55;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:17:09;11.27;;;9.07;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:22:10;15.07;;;9.80;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:27:11;9.93;;;8.15;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:32:12;14.93;;;9.35;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:37:13;12.95;;;8.15;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:42:13;14.30;;;9.43;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:47:14;11.57;;;9.30;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:52:15;12.65;;;9.45;;
33006;SDS011;19361;51.598;7.650;2022-03-03T00:57:16;11.95;;;9.30;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:02:16;14.13;;;9.73;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:07:17;12.45;;;9.27;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:12:18;12.27;;;9.55;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:17:19;12.07;;;9.00;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:22:20;12.73;;;8.77;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:27:20;11.70;;;8.75;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:32:21;12.75;;;8.60;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:37:22;10.63;;;8.80;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:42:23;14.10;;;9.00;;
33006;SDS011;19361;51.598;7.650;2022-03-03T01:47:25;16.92;;;9.15;;
