sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2022-11-11T02:46:04;99555.16;;;5.82;nan
113;BME280;45999;48.808;9.182;2022-11-11T02:48:30;99560.00;;;5.86;nan
113;BME280;45999;48.808;9.182;2022-11-11T02:50:57;99562.94;;;5.83;nan
113;BME280;45999;48.808;9.182;2022-11-11T02:53:23;99561.94;;;5.84;nan
113;BME280;45999;48.808;9.182;2022-11-11T02:55:50;99554.47;;;5.80;nan
113;BME280;45999;48.808;9.182;2022-11-11T02:58:16;99550.88;;;5.81;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:00:43;99548.22;;;5.81;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:03:09;99555.34;;;5.80;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:05:36;99553.75;;;5.78;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:08:02;99548.66;;;5.76;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:10:29;99545.84;;;5.78;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:12:55;99551.47;;;5.75;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:15:22;99547.31;;;5.72;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:17:48;99540.22;;;5.73;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:20:18;99547.00;;;5.75;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:23:03;99550.16;;;5.61;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:25:30;99545.59;;;5.63;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:28:10;99548.66;;;5.59;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:30:39;99551.31;;;5.59;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:33:06;99546.03;;;5.59;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:35:33;99548.22;;;5.63;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:38:01;99548.16;;;5.55;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:40:49;99550.13;;;5.53;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:43:17;99545.50;;;5.55;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:45:45;99546.34;;;5.56;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:48:12;99543.94;;;5.62;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:50:39;99551.06;;;5.52;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:53:05;99554.59;;;5.43;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:55:32;99554.69;;;5.51;nan
113;BME280;45999;48.808;9.182;2022-11-11T03:57:58;99555.44;;;5.44;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:00:26;99563.66;;;5.41;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:03:05;99573.53;;;5.39;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:05:49;99578.13;;;5.37;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:08:42;99583.09;;;5.40;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:11:31;99581.16;;;5.42;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:14:01;99586.56;;;5.40;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:16:46;99591.75;;;5.32;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:19:12;99593.63;;;5.22;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:21:56;99580.75;;;5.19;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:24:22;99572.94;;;5.27;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:27:12;99567.31;;;5.30;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:29:39;99567.56;;;5.19;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:32:09;99567.13;;;5.24;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:34:57;99562.53;;;5.26;nan
113;BME280;45999;48.808;9.182;2022-11-11T04:37:26;99560.50;;;5.20;nan
